recipe_name,ingredients,cooking_instructions
Blueberry French Toast,"12 slices day-old bread, cut into 1-inch cubes
2 packages (8 ounces each) cream cheese, cubed
1 cup fresh or frozen blueberries
12 large eggs
2 cups milk
1/3 cup maple syrup
BLUEBERRY SAUCE:
1 cup sugar
2 tablespoons cornstarch
1 cup water
1 cup fresh or frozen blueberries
1 tablespoon butter
Additional maple syrup","1. Place half of the bread cubes in a greased 13x9-in. baking dish.
2. Distribute cream cheese cubes and blueberries evenly over bread.
3. Top with remaining bread.
4. In a large bowl, beat eggs, milk, and syrup.
5. Pour over bread mixture.
6. Cover and chill 8 hours or overnight.
7. Remove from refrigerator 30 minutes before baking.
8. Preheat oven to 350°F (175°C).
9. Cover and bake 30 minutes.
10. Uncover and bake 25-30 minutes more or until golden brown and the center is set.
11. Meanwhile, in a saucepan, combine sugar and cornstarch.
12. Stir in water until smooth.
13. Add blueberries.
14. Bring to a boil; reduce heat and simmer for 8-10 minutes or until berries have burst.
15. Stir in butter until melted.
16. Serve French toast with blueberry sauce and additional syrup."
Contest-Winning New England Clam Chowder,"4 bacon strips, diced
1 medium onion, chopped
2 tablespoons all-purpose flour
1 teaspoon salt
1/2 teaspoon dried thyme
1/4 teaspoon pepper
2 cups half-and-half cream
2 cans (6-1/2 ounces each) minced clams, undrained
2 medium potatoes, peeled and cubed
1 cup chicken broth
1 bay leaf","1. In a large saucepan, cook bacon until crisp.
2. Remove bacon, reserving 1 tablespoon drippings.
3. Drain bacon on paper towels.
4. In the drippings, sauté onion until tender.
5. Stir in flour, salt, thyme, and pepper until blended.
6. Gradually add cream.
7. Drain clams, reserving liquid; set clams aside.
8. Add the clam liquid, potatoes, broth, and bay leaf to the saucepan; bring to a boil.
9. Reduce heat; cover and simmer for 20 minutes or until potatoes are tender.
10. Discard bay leaf.
11. Add clams and heat through.
12. Garnish with bacon."
Pineapple Pudding Cake,"1 can (20 ounces) crushed pineapple, undrained
1 package yellow cake mix (regular size)
1 package (3.4 ounces) instant vanilla pudding mix
1/2 cup chopped walnuts
1/2 cup flaked coconut
1/2 cup butter, melted
Whipped topping, optional","1. Preheat oven to 350°F (175°C).
2. In a large bowl, combine the pineapple, cake mix, dry pudding mix, walnuts, and coconut.
3. Spread into a greased 13x9-in. baking dish.
4. Drizzle with butter.
5. Bake at 350°F (175°C) for 45-50 minutes or until a toothpick inserted in the center comes out clean.
6. Serve warm or cold with whipped topping if desired."
Baked Tilapia,"4 tilapia fillets (6 ounces each)
1/4 cup butter, melted
3 tablespoons lemon juice
1 teaspoon dried parsley flakes
1/4 teaspoon garlic powder
1/4 teaspoon pepper","1. Place fillets in a greased 13x9-in. baking dish.
2. In a small bowl, combine the remaining ingredients; drizzle over fillets.
3. Bake, uncovered, at 425°F (220°C) for 10-15 minutes or until fish flakes easily with a fork."
Chocolate-Strawberry Celebration Cake,"1 package chocolate cake mix (regular size)
1-1/4 cups water
1/3 cup canola oil
3 large eggs
1 cup strawberry ice cream topping
1 carton (8 ounces) frozen whipped topping, thawed
Fresh strawberries and chocolate curls, optional","1. In a large bowl, combine the cake mix, water, oil, and eggs; beat on low speed for 30 seconds. Beat on medium for 2 minutes.
2. Pour into two greased and floured 9-in. round baking pans.
3. Bake at 350°F (175°C) for 25-30 minutes or until a toothpick inserted in the center comes out clean.
4. Cool for 10 minutes before removing from pans to wire racks to cool completely.
5. Place one cake layer on a serving plate; spread with ice cream topping.
6. Top with second cake layer.
7. Spread whipped topping over top and sides of cake.
8. Garnish with strawberries and chocolate curls if desired."
Cherry Bars,"1 cup butter, softened
2 cups sugar
1 teaspoon salt
4 large eggs
1 teaspoon vanilla extract
1/4 teaspoon almond extract
3 cups all-purpose flour
1 can (21 ounces) cherry pie filling
FROSTING:
1 cup confectioners' sugar
1/2 teaspoon vanilla extract
1/2 teaspoon almond extract
2 to 3 tablespoons milk","1. Preheat oven to 350°F (175°C). In a large bowl, cream butter, sugar, and salt until light and fluffy.
2. Add eggs, one at a time, beating well after each addition. Beat in extracts.
3. Gradually add flour. Spread 3 cups dough into a greased 15x10x1-in. baking pan.
4. Spread pie filling over crust. Drop remaining dough by teaspoonfuls over filling.
5. Bake 30-35 minutes or until golden brown.
6. Cool completely in pan on a wire rack.
7. In a small bowl, mix confectioners' sugar, extracts, and enough milk to reach desired consistency; drizzle over top."
Creamy Macaroni and Cheese,"2 cups elbow macaroni
1/4 cup butter, cubed
1/4 cup all-purpose flour
1/4 teaspoon salt
1/8 teaspoon pepper
2 cups 2% milk
2 cups (8 ounces) shredded sharp cheddar cheese","1. Cook macaroni according to package directions; drain.
2. In a saucepan, melt butter.
3. Stir in flour, salt, and pepper until smooth.
4. Gradually add milk.
5. Bring to a boil; cook and stir for 2 minutes or until thickened.
6. Reduce heat; stir in cheese until melted.
7. Add macaroni; stir to coat."
Chocolate Chip Oatmeal Cookies,"1 cup butter, softened
1 cup packed brown sugar
1/2 cup sugar
2 large eggs
1 teaspoon vanilla extract
2 cups all-purpose flour
1 teaspoon baking soda
1/2 teaspoon salt
3 cups old-fashioned oats
1-1/2 cups semisweet chocolate chips","1. Preheat oven to 350°F (175°C).
2. In a large bowl, cream butter and sugars until light and fluffy.
3. Beat in eggs and vanilla.
4. Combine the flour, baking soda, and salt; gradually add to creamed mixture and mix well.
5. Stir in oats and chocolate chips.
6. Drop by rounded tablespoonfuls 2 in. apart onto ungreased baking sheets.
7. Bake for 10-12 minutes or until golden brown.
8. Cool on wire racks."
Homemade Peanut Butter Cups,"1 cup creamy peanut butter
1/4 cup confectioners' sugar
2 tablespoons butter, softened
1/2 teaspoon salt
2 cups semisweet chocolate chips
2 tablespoons shortening","1. In a small bowl, combine the peanut butter, confectioners' sugar, butter, and salt until smooth.
2. In a microwave, melt chocolate chips and shortening; stir until smooth.
3. Drop a teaspoonful of chocolate mixture into paper-lined miniature muffin cups.
4. Top each with a teaspoonful of peanut butter mixture; top with another teaspoonful of chocolate mixture.
5. Refrigerate until set."
Skillet Shepherd’s Pie,"1 pound ground beef
1 medium onion, chopped
1 can (10-3/4 ounces) condensed cream of mushroom soup, undiluted
1 can (14-1/2 ounces) diced tomatoes, undrained
1/4 teaspoon salt
1/4 teaspoon pepper
2 cups frozen mixed vegetables, thawed
2 cups mashed potatoes (prepared with milk and butter)","1. In a large ovenproof skillet, cook beef and onion over medium heat until meat is no longer pink; drain.
2. Stir in the soup, tomatoes, salt, and pepper.
3. Bring to a boil.
4. Reduce heat; cover and simmer for 5 minutes.
5. Stir in vegetables; heat through.
6. Top with mashed potatoes.
7. Broil 4-6 in. from the heat for 3-5 minutes or until potatoes are lightly browned."
Ravioli Lasagna,"1 pound ground beef
1 medium onion, chopped
2 cans (15 ounces each) tomato sauce
1/2 teaspoon garlic powder
1/2 teaspoon dried oregano
1/4 teaspoon salt
1/4 teaspoon pepper
1 package (25 ounces) frozen cheese ravioli
2 cups (8 ounces) shredded part-skim mozzarella cheese","1. Preheat oven to 400°F (200°C).
2. In a large skillet, cook beef and onion over medium heat until meat is no longer pink; drain.
3. Stir in the tomato sauce, garlic powder, oregano, salt, and pepper; heat through.
4. Spread 1/2 cup meat sauce into a greased 13x9-in. baking dish.
5. Layer with half of the ravioli, 1-1/4 cups meat sauce, and 1 cup cheese.
6. Repeat layers.
7. Cover and bake for 40-45 minutes or until bubbly and cheese is melted."
Comforting Chicken Noodle Soup,"2 tablespoons olive oil
1 medium onion, chopped
3 garlic cloves, minced
2 medium carrots, chopped
2 celery ribs, chopped
6 cups chicken broth
1 teaspoon dried thyme
1 teaspoon dried rosemary, crushed
1/2 teaspoon pepper
2 cups uncooked egg noodles
2 cups shredded cooked chicken","1. In a Dutch oven, heat oil over medium heat.
2. Add onion, garlic, carrots, and celery; cook and stir until vegetables are tender.
3. Stir in the broth, thyme, rosemary, and pepper.
4. Bring to a boil.
5. Stir in noodles; cook for 8-10 minutes or until tender.
6. Stir in chicken; heat through before serving."
Strawberry Pretzel Salad,"2 cups crushed pretzels
3/4 cup butter, melted
3 tablespoons sugar
FILLING:
2 cups whipped topping
1 package (8 ounces) cream cheese, softened
1 cup sugar
TOPPING:
2 packages (3 ounces each) strawberry gelatin
2 cups boiling water
1 package (16 ounces) frozen sweetened sliced strawberries, thawed
1 can (20 ounces) crushed pineapple, undrained","1. Preheat oven to 350°F (175°C).
2. In a bowl, combine the pretzels, butter, and sugar. Press into an ungreased 13x9-in. baking dish.
3. Bake for 10 minutes. Cool on a wire rack.
4. For filling, in a small bowl, beat whipped topping and cream cheese until smooth. Spread over pretzel crust. Refrigerate until chilled.
5. For topping, dissolve gelatin in boiling water in a large bowl. Stir in strawberries and pineapple. Refrigerate for 1 hour or until partially set.
6. Carefully spoon over cream cheese layer. Refrigerate until firm."
Chicken Penne Casserole,"2 cups uncooked penne pasta
2 cups cubed cooked chicken
1 cup sliced fresh mushrooms
1 cup chopped sweet red pepper
1/2 cup chopped onion
1/2 cup chopped green pepper
1 jar (16 ounces) Alfredo sauce
1 cup shredded part-skim mozzarella cheese
1/2 cup grated Parmesan cheese","1. Preheat oven to 350°F (175°C). Cook pasta according to package directions; drain.
2. In a large bowl, combine the pasta, chicken, mushrooms, peppers, and onion.
3. Add Alfredo sauce and toss to coat.
4. Transfer to a greased 13x9-in. baking dish.
5. Sprinkle with cheeses.
6. Bake, uncovered, for 25-30 minutes or until bubbly and heated through."
First-Place Coconut Macaroons,"5-1/3 cups sweetened shredded coconut
1 can (14 ounces) sweetened condensed milk
1 teaspoon almond extract
1/2 cup all-purpose flour
1/4 teaspoon salt
4 large egg whites
1 cup chopped almonds, toasted
1 cup semisweet chocolate chips
1 teaspoon shortening","1. Preheat oven to 325°F (160°C).
2. In a large bowl, combine the coconut, milk, extract, flour, and salt.
3. In a small bowl, beat egg whites until stiff peaks form; fold into coconut mixture.
4. Drop by tablespoonfuls 2 in. apart onto greased baking sheets.
5. Bake for 20-25 minutes or until lightly browned.
6. Remove to wire racks to cool.
7. Dip bottoms of cookies in melted chocolate; allow excess to drip off.
8. Place on waxed paper; let stand until set."
Twice-Baked Potato Casserole,"6 large potatoes
1/2 cup sour cream
1/4 cup butter, cubed
1/2 teaspoon salt
1/4 teaspoon pepper
1-1/2 cups (6 ounces) shredded cheddar cheese, divided
3 green onions, chopped and divided
10 bacon strips, cooked and crumbled, divided","1. Preheat oven to 350°F (175°C).
2. Scrub and pierce potatoes; place on a microwave-safe plate.
3. Microwave, uncovered, on high for 18-22 minutes or until tender, turning once.
4. When cool enough to handle, cut potatoes in half lengthwise.
5. Scoop out the pulp and place in a large bowl; discard shells.
6. Mash the pulp with sour cream, butter, salt, and pepper.
7. Stir in 1 cup cheese, half of the green onions, and half of the bacon.
8. Spoon into a greased 2-1/2-qt. baking dish.
9. Sprinkle with remaining cheese, onions, and bacon.
10. Bake, uncovered, for 30 minutes or until heated through."
Simple Taco Soup,"1 pound ground beef
1 can (15 ounces) pinto beans, rinsed and drained
1 can (15 ounces) whole kernel corn, drained
1 can (10 ounces) diced tomatoes and green chilies, undrained
1 can (8 ounces) tomato sauce
1 envelope taco seasoning
2-1/2 cups water
Tortilla chips, shredded cheddar cheese, sliced ripe olives, and sour cream, optional","1. In a large saucepan, cook beef over medium heat until no longer pink; drain.
2. Stir in the beans, corn, tomatoes, tomato sauce, taco seasoning, and water.
3. Bring to a boil.
4. Reduce heat; cover and simmer for 15 minutes to allow flavors to blend.
5. Garnish with chips, cheese, olives, and sour cream if desired."
Porcupine Meatballs,"1/2 cup uncooked long grain rice
1/2 cup water
1/4 cup chopped onion
1 teaspoon salt, divided
1/8 teaspoon pepper
1 pound ground beef
1 tablespoon canola oil
1 can (15 ounces) tomato sauce
1/2 cup water
1 teaspoon Worcestershire sauce","1. In a small bowl, combine the rice, 1/2 cup water, onion, 1/2 teaspoon salt, and pepper.
2. Crumble beef over mixture and mix well.
3. Shape into 1-1/2-in. balls.
4. In a large skillet, brown meatballs in oil; drain.
5. Combine the tomato sauce, 1/2 cup water, Worcestershire sauce, and remaining salt; pour over meatballs.
6. Bring to a boil.
7. Reduce heat; cover and simmer for 35-40 minutes or until meat is no longer pink and rice is tender."
Tennessee Peach Pudding,"1/2 cup butter, softened
1 cup sugar
1-1/2 cups all-purpose flour
2 teaspoons baking powder
1/2 teaspoon salt
1 cup 2% milk
2 cups sliced peeled fresh or frozen peaches
TOPPING:
1-1/2 cups sugar
1 tablespoon cornstarch
1 cup boiling water","1. Preheat oven to 350°F (175°C). In a large bowl, cream butter and sugar until light and fluffy.
2. Combine the flour, baking powder, and salt; add to creamed mixture alternately with milk, beating well after each addition.
3. Spread into a greased 13x9-in. baking dish.
4. Top with peaches.
5. For topping, combine sugar and cornstarch in a small bowl; gradually whisk in boiling water.
6. Pour over peaches.
7. Bake for 50-55 minutes or until golden brown."
Caramel Heavenlies,"2 cups crushed saltines (about 60 crackers)
1 cup chopped pecans
1 cup packed brown sugar
3/4 cup butter, cubed
2 cups semisweet chocolate chips","1. Preheat oven to 350°F (175°C).
2. In a large bowl, combine the saltines and pecans.
3. In a large saucepan, combine brown sugar and butter; bring to a boil, stirring constantly.
4. Pour over cracker mixture; toss to coat evenly.
5. Transfer to a greased 15x10x1-in. baking pan.
6. Bake for 10-12 minutes or until bubbly.
7. Sprinkle with chocolate chips.
8. Let stand for 5 minutes; spread melted chocolate over the top.
9. Cool completely on a wire rack before cutting."
Ham and Swiss Sliders,"12 dinner rolls (about 2 inches in diameter)
12 thin slices deli ham
6 slices Swiss cheese, halved
1/3 cup mayonnaise
1 tablespoon finely chopped onion
1 tablespoon poppy seeds
2 teaspoons Dijon mustard
1/4 cup butter, melted","1. Preheat oven to 350°F (175°C).
2. Without separating rolls, cut horizontally in half; arrange bottoms in a greased 13x9-in. baking pan.
3. Layer with ham and cheese.
4. In a small bowl, combine the mayonnaise, onion, poppy seeds, and mustard; spread over tops.
5. Replace tops.
6. Drizzle butter over rolls.
7. Bake, uncovered, for 25-30 minutes or until cheese is melted. Serve warm."
Teriyaki Chicken Thighs,"6 bone-in chicken thighs (about 2-1/4 pounds)
1/3 cup reduced-sodium soy sauce
1/4 cup sugar
2 tablespoons cider vinegar
1/4 teaspoon ground ginger
1/4 teaspoon pepper
1/2 teaspoon minced garlic
1-1/2 teaspoons cornstarch
1-1/2 teaspoons cold water","1. Preheat oven to 375°F (190°C).
2. Arrange chicken in an ungreased 13x9-in. baking dish.
3. In a small saucepan, combine the soy sauce, sugar, vinegar, ginger, pepper, and garlic; bring to a boil.
4. Reduce heat; simmer, uncovered, for 5 minutes.
5. Pour over chicken.
6. Bake, uncovered, for 45-50 minutes or until chicken juices run clear.
7. Remove chicken to a serving platter and keep warm.
8. Transfer cooking juices to a small saucepan; skim fat.
9. Bring cooking juices to a boil.
10. Combine cornstarch and water until smooth; gradually stir into pan.
11. Bring to a boil; cook and stir for 2 minutes or until thickened.
12. Serve with chicken."
Easy Peanut Butter Fudge,"1 cup butter, cubed
1 cup creamy peanut butter
1 teaspoon vanilla extract
1 pound confectioners' sugar","1. In a microwave-safe bowl, combine the butter and peanut butter.
2. Microwave, uncovered, on high for 2 minutes or until melted.
3. Stir in vanilla.
4. Gradually stir in confectioners' sugar until smooth.
5. Spread into a greased 8-in. square dish.
6. Refrigerate until set before cutting."
Bacon Macaroni Salad,"1 package (16 ounces) elbow macaroni
1/2 cup mayonnaise
1/4 cup sweet pickle relish
2 tablespoons cider vinegar
1/2 teaspoon salt
1/4 teaspoon pepper
6 hard-boiled large eggs, chopped
6 cooked bacon strips, crumbled
1 small onion, chopped
1 celery rib, chopped","1. Cook macaroni according to package directions; drain and rinse in cold water.
2. In a large bowl, combine the mayonnaise, relish, vinegar, salt, and pepper.
3. Stir in the macaroni, eggs, bacon, onion, and celery.
4. Cover and refrigerate for at least 2 hours before serving."
Brown Sugar Oatmeal Pancakes,"1-1/2 cups all-purpose flour
1 cup quick-cooking oats
1/4 cup packed brown sugar
1 tablespoon baking powder
1/2 teaspoon ground cinnamon
1/4 teaspoon salt
1-1/2 cups 2% milk
1/4 cup canola oil
2 large eggs
Additional milk, optional","1. In a large bowl, combine the flour, oats, brown sugar, baking powder, cinnamon, and salt.
2. In another bowl, whisk the milk, oil, and eggs.
3. Stir into dry ingredients just until moistened.
4. Pour batter by 1/4 cupfuls onto a greased hot griddle.
5. Turn when bubbles form on top; cook until the second side is golden brown. If desired, thin pancake batter with additional milk."
Lime Chicken Tacos,"1/4 cup lime juice
3 tablespoons honey
1 tablespoon chili powder
1 garlic clove, minced
1 pound boneless skinless chicken breasts
8 taco shells
TOPPINGS:
2 cups shredded lettuce
1 cup chopped tomato
1 cup shredded cheddar cheese
1/2 cup salsa
1/4 cup sour cream","1. In a small bowl, combine the lime juice, honey, chili powder, and garlic.
2. Pour 1/4 cup marinade into a large resealable plastic bag; add the chicken.
3. Seal bag and turn to coat; refrigerate for 1 hour.
4. Cover and refrigerate remaining marinade.
5. Drain and discard marinade.
6. Grill chicken, covered, over medium heat for 6-7 minutes on each side or until juices run clear, basting occasionally with reserved marinade.
7. Cut chicken into thin strips.
8. Spoon chicken into taco shells; top with toppings of your choice."
Quick Cream of Mushroom Soup,"1/4 cup butter
1/4 cup all-purpose flour
1/4 teaspoon salt
1/8 teaspoon pepper
2 cups chicken broth
1 cup half-and-half cream
1 can (4 ounces) mushroom stems and pieces, undrained","1. In a large saucepan, melt butter.
2. Stir in the flour, salt, and pepper until smooth; gradually add broth and cream.
3. Bring to a boil; cook and stir for 2 minutes or until thickened.
4. Add mushrooms; heat through."
Egg Roll Noodle Bowl,"1 pound ground pork
1 package (16 ounces) coleslaw mix
1 medium onion, chopped
2 garlic cloves, minced
1 tablespoon soy sauce
1 teaspoon ground ginger
1/2 teaspoon salt
1/2 teaspoon pepper
1/4 teaspoon crushed red pepper flakes
4 cups chicken broth
4 ounces uncooked wide rice noodles","1. In a large skillet, cook pork, coleslaw mix, onion, and garlic over medium heat 6-8 minutes or until pork is no longer pink and vegetables are tender, breaking pork into crumbles.
2. Stir in soy sauce, ginger, salt, pepper, and pepper flakes; cook 2 minutes longer.
3. Stir in broth; bring to a boil. Stir in noodles; return to a boil. Reduce heat; simmer, uncovered, 6-8 minutes or until noodles are tender, stirring occasionally."
Mamaw Emily’s Strawberry Cake,"1 package white cake mix (regular size)
1 package (3 ounces) strawberry gelatin
1/4 cup sugar
1 cup water
1/2 cup unsweetened applesauce
4 large egg whites
1/4 cup canola oil
1/2 cup chopped fresh strawberries
FROSTING:
1 package (8 ounces) cream cheese, softened
1/4 cup butter, softened
4 cups confectioners' sugar
1/2 cup chopped fresh strawberries","1. Preheat oven to 350°F (175°C).
2. In a large bowl, combine the cake mix, gelatin, and sugar. Add water, applesauce, egg whites, and oil; beat on low speed for 30 seconds. Beat on medium for 2 minutes.
3. Fold in strawberries.
4. Pour into three greased and floured 9-in. round baking pans.
5. Bake for 20-25 minutes or until a toothpick inserted in the center comes out clean.
6. Cool for 10 minutes before removing from pans to wire racks to cool completely.
7. For frosting, in a large bowl, beat cream cheese and butter until fluffy. Beat in confectioners' sugar until smooth. Stir in strawberries.
8. Spread frosting between layers and over top and sides of cake.
"
